epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.91407,2.36866,2.90607,1.11185,0.0208,0.37321,0.04512,0.01155,2.20652,3.11477,1.0324,0.0004,0.0004,0.0004
2,14.1274,2.06624,1.66397,1.06311,0.05014,0.89987,0.43919,0.15583,2.02511,2.59265,1.02543,0.000811882,0.000811882,0.000811882
3,20.0996,1.91987,1.43854,1.04868,0.06626,0.82185,0.47367,0.17374,2.13791,2.5243,1.06892,0.00121545,0.00121545,0.00121545
4,25.7465,1.97276,1.36734,1.01209,0.68902,0.27568,0.46499,0.18205,2.14803,2.28052,1.09581,0.0016107,0.0016107,0.0016107
5,30.2504,1.89368,1.44433,1.01115,0.5973,0.49155,0.55866,0.20993,2.18079,2.02574,1.08936,0.0019208,0.0019208,0.0019208
6,36.3922,1.83702,1.23846,0.98797,0.75815,0.69051,0.75812,0.30677,1.99714,1.31666,1.02922,0.001901,0.001901,0.001901
7,41.2575,1.91402,1.2046,0.9687,0.69654,0.73082,0.76788,0.35522,1.84798,1.20455,0.97207,0.0018812,0.0018812,0.0018812
8,46.8368,1.72964,1.11386,0.98334,0.73203,0.73602,0.79711,0.35711,1.88199,1.11391,0.98827,0.0018614,0.0018614,0.0018614
9,52.292,1.82253,1.16322,0.96433,0.85604,0.81925,0.89237,0.43421,1.76758,1.00093,0.97176,0.0018416,0.0018416,0.0018416
10,56.8695,1.79631,1.11946,0.95974,0.81459,0.75553,0.84538,0.43174,1.67772,1.0223,0.96297,0.0018218,0.0018218,0.0018218
11,63.0609,1.7126,1.13812,0.96422,0.83055,0.80754,0.87972,0.42429,1.7748,0.99466,0.9886,0.001802,0.001802,0.001802
12,67.6383,1.72585,1.09508,0.98378,0.85614,0.83875,0.89965,0.45053,1.70146,0.95535,0.96547,0.0017822,0.0017822,0.0017822
13,73.1769,1.7487,1.08095,0.9763,0.85601,0.84265,0.89275,0.46588,1.62005,0.95384,0.94819,0.0017624,0.0017624,0.0017624
14,78.2668,1.69507,1.01599,0.97459,0.82919,0.82699,0.8774,0.46689,1.61559,0.93122,0.95898,0.0017426,0.0017426,0.0017426
15,82.8043,1.7868,1.04845,0.97542,0.84496,0.82211,0.88757,0.42009,1.76514,0.97874,0.98865,0.0017228,0.0017228,0.0017228
16,89.1395,1.68049,1.00496,0.97945,0.84969,0.85176,0.90595,0.45391,1.68033,0.92576,0.96711,0.001703,0.001703,0.001703
17,93.8611,1.72346,1.00553,0.94882,0.88779,0.8745,0.92795,0.49921,1.61752,0.88238,0.95405,0.0016832,0.0016832,0.0016832
18,98.9651,1.60239,0.92567,0.92548,0.90401,0.88557,0.93895,0.47539,1.61722,0.86553,0.94933,0.0016634,0.0016634,0.0016634
19,104.527,1.59537,0.90997,0.9206,0.84083,0.82434,0.90453,0.51126,1.57955,0.86109,0.94736,0.0016436,0.0016436,0.0016436
20,109.338,1.58692,0.94865,0.94656,0.86621,0.87561,0.93258,0.47421,1.66583,0.87222,0.9539,0.0016238,0.0016238,0.0016238
21,115.326,1.61623,0.9144,0.9269,0.90463,0.85566,0.93968,0.50742,1.58701,0.83902,0.94502,0.001604,0.001604,0.001604
22,119.935,1.5651,0.87887,0.96329,0.90615,0.89467,0.94971,0.50171,1.64074,0.82688,0.95728,0.0015842,0.0015842,0.0015842
23,124.649,1.69812,0.92967,0.9285,0.90009,0.88427,0.94504,0.52521,1.52186,0.80932,0.92864,0.0015644,0.0015644,0.0015644
24,130.435,1.64229,0.88815,0.92196,0.85517,0.90607,0.93182,0.47775,1.64275,0.8543,0.95265,0.0015446,0.0015446,0.0015446
25,135.398,1.5485,0.87524,0.95045,0.88893,0.89727,0.94081,0.53962,1.49655,0.79829,0.93207,0.0015248,0.0015248,0.0015248
26,141.609,1.67086,1.07519,0.96935,0.88858,0.89727,0.93255,0.48034,1.65062,0.80594,0.94856,0.001505,0.001505,0.001505
27,146.276,1.61531,0.884,0.93764,0.91446,0.8897,0.95005,0.5223,1.51346,0.80987,0.92596,0.0014852,0.0014852,0.0014852
28,151.048,1.66916,0.88145,0.94309,0.91211,0.90414,0.9496,0.51071,1.58241,0.83887,0.9288,0.0014654,0.0014654,0.0014654
29,156.907,1.6671,0.87518,0.91756,0.84743,0.85696,0.89686,0.47731,1.56239,0.85959,0.92417,0.0014456,0.0014456,0.0014456
30,162.146,1.50223,0.90598,0.9335,0.92927,0.89857,0.95229,0.47892,1.68288,0.94544,0.94769,0.0014258,0.0014258,0.0014258
31,168.216,1.55958,0.84292,0.93396,0.93316,0.88687,0.9596,0.55567,1.48065,0.75428,0.92609,0.001406,0.001406,0.001406
32,173.046,1.55298,0.84659,0.93649,0.92612,0.88023,0.95283,0.52347,1.55214,0.77118,0.94036,0.0013862,0.0013862,0.0013862
33,177.475,1.63431,0.87178,0.92782,0.88931,0.87126,0.93362,0.51546,1.50577,0.79917,0.92658,0.0013664,0.0013664,0.0013664
34,183.276,1.43137,1.82166,0.88854,0.91696,0.90767,0.95859,0.5197,1.53094,0.77435,0.93272,0.0013466,0.0013466,0.0013466
35,188.207,1.65187,0.88721,0.92689,0.88833,0.8586,0.9306,0.48288,1.56065,0.92954,0.9415,0.0013268,0.0013268,0.0013268
36,193.669,1.5181,0.84934,0.92583,0.89603,0.92588,0.95773,0.50956,1.60496,0.82663,0.94874,0.001307,0.001307,0.001307
37,198.94,1.54691,0.86668,0.943,0.91021,0.90247,0.9564,0.52277,1.55544,0.79247,0.94011,0.0012872,0.0012872,0.0012872
38,203.641,1.48618,0.84833,0.92979,0.92412,0.90274,0.95917,0.54881,1.5057,0.77945,0.92417,0.0012674,0.0012674,0.0012674
39,209.853,1.44637,0.78158,0.89763,0.94663,0.89947,0.96821,0.56697,1.45986,0.74355,0.91749,0.0012476,0.0012476,0.0012476
40,214.977,1.48506,0.85336,0.93199,0.94047,0.90387,0.96738,0.54055,1.51664,0.74231,0.9185,0.0012278,0.0012278,0.0012278
41,220.825,1.50526,0.78728,0.9211,0.93794,0.90117,0.96615,0.59351,1.37379,0.71253,0.91029,0.001208,0.001208,0.001208
42,225.787,1.59768,0.88475,0.93458,0.92675,0.90489,0.95918,0.57718,1.44036,0.74735,0.92558,0.0011882,0.0011882,0.0011882
43,230.546,1.40023,1.00217,0.86404,0.94133,0.90637,0.96217,0.56137,1.42526,0.73429,0.91188,0.0011684,0.0011684,0.0011684
44,236.515,1.45707,0.77903,0.90685,0.9255,0.92085,0.96719,0.58828,1.4067,0.72927,0.91324,0.0011486,0.0011486,0.0011486
45,241.323,1.43125,0.78499,0.93217,0.93021,0.90637,0.96477,0.58635,1.40355,0.71704,0.91032,0.0011288,0.0011288,0.0011288
46,246.748,1.4877,0.82118,0.91243,0.93346,0.90897,0.9671,0.59003,1.35925,0.73954,0.89877,0.001109,0.001109,0.001109
47,252.075,1.45179,0.76825,0.91036,0.93684,0.88732,0.9635,0.58342,1.40852,0.69839,0.91417,0.0010892,0.0010892,0.0010892
48,257.07,1.4225,0.77124,0.90983,0.92208,0.90117,0.95919,0.57836,1.38866,0.69242,0.90911,0.0010694,0.0010694,0.0010694
49,263.036,1.45525,0.76932,0.9463,0.92775,0.91835,0.97033,0.60316,1.33145,0.69151,0.89523,0.0010496,0.0010496,0.0010496
50,268.08,1.39226,0.74311,0.91388,0.92633,0.90767,0.96288,0.5842,1.415,0.70433,0.90648,0.0010298,0.0010298,0.0010298
51,273.167,1.43077,0.74489,0.9186,0.92358,0.90247,0.95967,0.5826,1.3645,0.68632,0.89233,0.00101,0.00101,0.00101
52,278.642,1.33729,0.71698,0.89514,0.92001,0.89857,0.95887,0.55799,1.42204,0.6997,0.90616,0.0009902,0.0009902,0.0009902
53,283.272,1.42753,0.72776,0.89797,0.91208,0.90389,0.95673,0.56157,1.43528,0.69819,0.90694,0.0009704,0.0009704,0.0009704
54,289.254,1.46457,0.76481,0.95556,0.91622,0.91287,0.96527,0.58512,1.39024,0.687,0.90577,0.0009506,0.0009506,0.0009506
55,294.148,1.40425,0.74058,0.918,0.92242,0.92328,0.97011,0.57551,1.40985,0.69093,0.90478,0.0009308,0.0009308,0.0009308
56,298.893,1.42303,0.72362,0.90409,0.94784,0.92198,0.97545,0.59726,1.41445,0.69117,0.9031,0.000911,0.000911,0.000911
57,304.714,1.4536,0.7399,0.89471,0.91716,0.92143,0.96104,0.59564,1.37086,0.69165,0.90279,0.0008912,0.0008912,0.0008912
58,309.341,1.43589,0.73644,0.89557,0.94981,0.92198,0.97213,0.58589,1.36648,0.67383,0.89522,0.0008714,0.0008714,0.0008714
59,315.455,1.36048,0.72292,0.90266,0.94304,0.92328,0.97533,0.61077,1.36575,0.65608,0.89874,0.0008516,0.0008516,0.0008516
60,320.263,1.37021,0.68867,0.89443,0.94255,0.91747,0.97805,0.59901,1.38188,0.67498,0.90159,0.0008318,0.0008318,0.0008318
61,324.95,1.39176,0.7257,0.90255,0.9611,0.91678,0.97763,0.61543,1.31037,0.66769,0.88905,0.000812,0.000812,0.000812
62,331.037,1.39249,0.71422,0.9152,0.95652,0.91678,0.9755,0.60824,1.37042,0.65441,0.89807,0.0007922,0.0007922,0.0007922
63,335.632,1.48933,0.7362,0.91537,0.9614,0.90678,0.97502,0.60792,1.35218,0.64454,0.8951,0.0007724,0.0007724,0.0007724
64,341.259,1.37876,0.69936,0.90901,0.95438,0.92488,0.9723,0.58693,1.41277,0.66332,0.90756,0.0007526,0.0007526,0.0007526
65,346.246,1.34008,0.69019,0.90049,0.95387,0.92978,0.97241,0.59525,1.35223,0.64669,0.89896,0.0007328,0.0007328,0.0007328
66,350.656,1.31431,0.66309,0.88785,0.95651,0.91529,0.97017,0.6043,1.36809,0.64721,0.9016,0.000713,0.000713,0.000713
67,356.763,1.38434,0.69752,0.92306,0.94967,0.91547,0.97547,0.60673,1.34668,0.6386,0.89544,0.0006932,0.0006932,0.0006932
68,361.396,1.33449,0.68715,0.88767,0.95104,0.93466,0.97958,0.62439,1.28176,0.62948,0.88995,0.0006734,0.0006734,0.0006734
69,366.541,1.39048,0.67668,0.90641,0.94795,0.92355,0.98005,0.63043,1.30257,0.63042,0.8932,0.0006536,0.0006536,0.0006536
70,371.955,1.33328,0.67899,0.89129,0.96414,0.91157,0.97805,0.61832,1.33078,0.63664,0.89409,0.0006338,0.0006338,0.0006338
71,376.383,1.32225,0.69361,0.88598,0.95988,0.93346,0.98202,0.61344,1.32281,0.64295,0.88936,0.000614,0.000614,0.000614
72,382.515,1.35194,0.69,0.88097,0.95868,0.93758,0.98075,0.60609,1.34599,0.64135,0.89252,0.0005942,0.0005942,0.0005942
73,387.175,1.30275,0.65086,0.87998,0.9573,0.93298,0.97748,0.61804,1.32658,0.64708,0.8917,0.0005744,0.0005744,0.0005744
74,391.874,1.35864,0.67282,0.8851,0.96014,0.93978,0.98087,0.6089,1.34497,0.64663,0.89162,0.0005546,0.0005546,0.0005546
75,398.034,1.33957,0.67663,0.8903,0.96377,0.93238,0.97502,0.62543,1.28788,0.64115,0.88798,0.0005348,0.0005348,0.0005348
76,403.198,1.38612,0.68805,0.88956,0.93825,0.92863,0.9701,0.60854,1.33203,0.65397,0.89411,0.000515,0.000515,0.000515
77,409.043,1.39343,0.67942,0.87839,0.94736,0.93613,0.97932,0.62489,1.32423,0.64531,0.89356,0.0004952,0.0004952,0.0004952
78,413.732,1.36829,0.65666,0.88232,0.94874,0.93867,0.98052,0.63529,1.28201,0.62453,0.88746,0.0004754,0.0004754,0.0004754
79,418.09,1.25893,0.63618,0.89161,0.94008,0.92978,0.97664,0.6353,1.26913,0.62803,0.88444,0.0004556,0.0004556,0.0004556
80,424.311,1.29708,0.63544,0.88768,0.94753,0.92588,0.97612,0.6253,1.28865,0.63385,0.88469,0.0004358,0.0004358,0.0004358
81,429.038,1.30851,0.64131,0.94483,0.94367,0.92978,0.97372,0.61636,1.32557,0.63164,0.89007,0.000416,0.000416,0.000416
82,434.906,1.3499,0.67727,0.88266,0.95705,0.93498,0.97664,0.63433,1.27439,0.61786,0.88393,0.0003962,0.0003962,0.0003962
83,439.979,1.30547,0.6486,0.88683,0.95839,0.94018,0.97803,0.63407,1.27344,0.61346,0.88075,0.0003764,0.0003764,0.0003764
84,444.643,1.30184,0.64847,0.89729,0.95029,0.93888,0.97684,0.63873,1.25736,0.61472,0.88063,0.0003566,0.0003566,0.0003566
85,450.596,1.26965,0.63834,0.87364,0.95263,0.94151,0.97864,0.64155,1.25163,0.61335,0.88133,0.0003368,0.0003368,0.0003368
86,455.48,1.33305,0.65858,0.89472,0.9488,0.94538,0.97658,0.63464,1.27612,0.61261,0.88571,0.000317,0.000317,0.000317
87,461.033,1.35239,0.64937,0.86561,0.94203,0.93888,0.97473,0.63271,1.26878,0.61119,0.88383,0.0002972,0.0002972,0.0002972
88,466.419,1.23739,0.65369,0.86819,0.95527,0.93758,0.97475,0.64384,1.25506,0.60909,0.8828,0.0002774,0.0002774,0.0002774
89,471.304,1.28681,0.63174,0.89213,0.95847,0.94668,0.97925,0.64601,1.26876,0.60186,0.88353,0.0002576,0.0002576,0.0002576
90,477.336,1.2914,0.64644,0.88338,0.94918,0.9473,0.97445,0.6445,1.2591,0.60524,0.88249,0.0002378,0.0002378,0.0002378
91,483.837,1.20637,0.6639,0.89948,0.95877,0.93754,0.97908,0.64232,1.26331,0.60976,0.88283,0.000218,0.000218,0.000218
92,490.054,1.23642,0.64934,0.89489,0.96064,0.93888,0.97814,0.63983,1.29293,0.61002,0.88818,0.0001982,0.0001982,0.0001982
93,494.669,1.25511,0.63904,0.91014,0.96249,0.93758,0.97709,0.64382,1.26483,0.61265,0.88525,0.0001784,0.0001784,0.0001784
94,499.825,1.27018,0.66418,0.88839,0.96003,0.93696,0.97625,0.63666,1.28075,0.61502,0.88733,0.0001586,0.0001586,0.0001586
95,505.538,1.19292,0.61704,0.88894,0.955,0.93826,0.97622,0.62605,1.31875,0.62601,0.89205,0.0001388,0.0001388,0.0001388
96,510.343,1.20079,0.60145,0.89,0.95749,0.94148,0.97488,0.62311,1.32379,0.62956,0.89409,0.000119,0.000119,0.000119
97,516.32,1.25382,0.62784,0.90743,0.9556,0.93498,0.97318,0.6327,1.28415,0.62208,0.88639,9.92e-05,9.92e-05,9.92e-05
98,520.897,1.20701,0.61183,0.87525,0.95351,0.94018,0.97658,0.63301,1.27823,0.6197,0.88406,7.94e-05,7.94e-05,7.94e-05
99,525.456,1.27133,0.63745,0.89725,0.95871,0.93605,0.9759,0.63812,1.27344,0.61612,0.88441,5.96e-05,5.96e-05,5.96e-05
100,531.774,1.18427,0.60664,0.89906,0.96437,0.94018,0.97742,0.63971,1.27502,0.61266,0.88485,3.98e-05,3.98e-05,3.98e-05
